Key,en,hi,ar,es
Database Host,Database Host,डेटाबेस होस्ट,مضيف قاعدة البيانات,Host de base de datos
Database Port,Database Port,डेटाबेस पोर्ट,منفذ قاعدة البيانات,Puerto de base de datos
Database Name,Database Name,डेटाबेस का नाम,اسم قاعدة البيانات,Nombre de la base de datos
Database Username,Database Username,डेटाबेस उपयोगकर्ता नाम,اسم مستخدم قاعدة البيانات,Nombre de usuario de la base de datos
PHP Version,PHP Version,पीएचपी संस्करण,نسخة PHP,Versión PHP
Laravel Version,Laravel Version,लारवेल संस्करण,نسخة لارافيل,Versión Laravel
Server Software,Server Software,सर्वर सॉफ्टवेयर,برامج الخادم,Software de servidor
Server IP Address,Server IP Address,सर्वर आईपी पता,عنوان IP للخادم,Dirección IP del servidor
Server Protocol,Server Protocol,सर्वर प्रोटोकॉल,بروتوكول الخادم,Protocolo de servidor
Timezone,Timezone,समय क्षेत्र,وحدة زمنية,Zona horaria
Email Send Method,Email Send Method,ईमेल भेजने की विधि,طريقة إرسال البريد الإلكتروني,Método de envío de correo electrónico
Send Mail,Send Mail,मेल भेजने,ارسل بريد,Enviar correo
Port,Port,पत्तन,ميناء,Puerto
Encryption,Encryption,कूटलेखन,التشفير,Cifrado
Email Body,Email Body,ईमेल बॉडी,هيئة البريد الإلكتروني,Cuerpo del correo electronico
Page Name,Page Name,पन्ने का नाम,اسم الصفحة,Nombre de la página
Element,Element,तत्व,عنصر,Elemento
Edit About Item,Edit About Item,आइटम के बारे में संपादित करें,تحرير حول العنصر,Editar sobre el artículo
Announcement Category,Announcement Category,घोषणा श्रेणी,فئة الإعلان,Categoría de anuncio
Add Category,Add Category,श्रेणी जोड़ना,إضافة فئة,añadir categoría
Setup Announcement Section,Setup Announcement Section,सेटअप घोषणा अनुभाग,قسم إعلان الإعداد,Sección de anuncio de configuración
Login Heading,Login Heading,लॉगिन शीर्षक,عنوان تسجيل الدخول,Iniciar sesión
Login Sub Heading,Login Sub Heading,उपशीर्षक लॉगिन करें,تسجيل الدخول العنوان الفرعي,Subtítulo de inicio de sesión
Register Heading,Register Heading,शीर्षक पंजीकृत करें,تسجيل العنوان,Registro Encabezado
Register Sub Heading,Register Sub Heading,उपशीर्षक पंजीकृत करें,تسجيل العنوان الفرعي,Registrar subtítulo
Forgot Heading,Forgot Heading,शीर्षक भूल गये,نسيت العنوان,Olvidé el rumbo
Forgot Sub Heading,Forgot Sub Heading,उपशीर्षक भूल गये,نسيت العنوان الفرعي,Olvidé el subtítulo
Edit Banner,Edit Banner,बैनर संपादित करें,تحرير لافتة,Editar banner
Brand Section,Brand Section,ब्रांड अनुभाग,قسم العلامات التجارية,Sección de marca
Edit Brand,Edit Brand,ब्रांड संपादित करें,تحرير العلامة التجارية,Editar marca
Location Title,Location Title,स्थान शीर्षक,عنوان الموقع,Título de la ubicación
Location,Location,जगह,موقع,Ubicación
Call Title,Call Title,कॉल शीर्षक,عنوان المكالمة,Título de la llamada
Office Hour,Office Hour,कार्य समय,ساعة المكتب,Hora de oficina
Email Title,Email Title,ईमेल शीर्षक,عنوان البريد الإلكتروني,Título del correo electrónico
Footer Text,Footer Text,फूटर टेक्स्ट,نص التذييل,Texto de pie de página
Short Description,Short Description,संक्षिप्त वर्णन,وصف قصير,Breve descripción
Mobile,Mobile,गतिमान,متحرك,Móvil
Support,Support,सहायता,يدعم,Apoyo
Newsletter Title,Newsletter Title,न्यूज़लैटर शीर्षक,عنوان النشرة الإخبارية,Título del boletín
Edit Social Icon,Edit Social Icon,सामाजिक चिह्न संपादित करें,تحرير أيقونة الاجتماعية,Editar icono social
Edit Gallery Item,Edit Gallery Item,गैलरी आइटम संपादित करें,تحرير عنصر المعرض,Editar elemento de la galería
Edit How We Do,Edit How We Do,हम कैसे करते हैं संपादित करें,تحرير كيف نفعل,Editar cómo lo hacemos
Designation,Designation,पद का नाम,تعيين,Designación
Edit Team Item,Edit Team Item,टीम आइटम संपादित करें,تحرير عنصر الفريق,Editar elemento del equipo
Rating,Rating,रेटिंग,تقييم,Clasificación
Edit Testimonial Item,Edit Testimonial Item,प्रशंसापत्र आइटम संपादित करें,تحرير عنصر الشهادة,Editar artículo de testimonio
Edit Video Item,Edit Video Item,वीडियो आइटम संपादित करें,تحرير عنصر الفيديو,Editar elemento de vídeo
Created At,Created At,पर बनाया गया,أنشئت في,Creado en
Support Chat,Support Chat,समर्थन चैट,دعم الدردشة,Chat de soporte
Ticket ID,Ticket ID,टिकट आईडी,معرف التذكرة,Identificación de entradas
Support Ticket,Support Ticket,समर्थन टिकट,بطاقة الدعم,Boleto de soporte
All Ticket,All Ticket,सभी टिकट,جميع التذاكر,Todos los boletos
User Overview,User Overview,उपयोगकर्ता अवलोकन,نظرة عامة على المستخدم,Descripción general del usuario
Login as Member,Login as Member,सदस्य के रूप में लॉगिन करें,تسجيل الدخول كعضو,Iniciar sesión como miembro
Email Logs,Email Logs,ईमेल लॉग्स,سجلات البريد الإلكتروني,Registros de correo electrónico
Last Login,Last Login,आखरी लॉगइन,آخر تسجيل دخول,Último acceso
Information of User,Information of User,उपयोगकर्ता की जानकारी,معلومات المستخدم,Información del Usuario
Zip,Zip,ज़िप,أَزِيز,Cremallera
User,User,उपयोगकर्ता,مستخدم,Usuario
Select Users,Select Users,उपयोगकर्ता चुनें,حدد المستخدمين,Seleccionar usuarios
all,all,सभी,الجميع,todo
banned,banned,पर प्रतिबंध लगा दिया,محظور,prohibido
User Login Logs,User Login Logs,उपयोगकर्ता लॉगिन लॉग,سجلات دخول المستخدم,Registros de inicio de sesión de usuario
IP,IP,आई पी,الملكية الفكرية,IP
MAC,MAC,मैक,ماك,MAC
Browser,Browser,ब्राउज़र,المتصفح,Navegador
OS,OS,ओएस,نظام التشغيل,SO
Login at,Login at,पर लॉगइन करें,تسجيل الدخول في,Inicia sesión en
Site Base Color,Site Base Color,साइट का आधार रंग,اللون الأساسي للموقع,Color base del sitio
Site Secondary Color,Site Secondary Color,साइट द्वितीयक रंग,اللون الثانوي للموقع,Color secundario del sitio
Site Name,Site Name,जगह का नाम,اسم الموقع,Nombre del sitio
Site Title,Site Title,घटनास्थल शीर्षक,عنوان الموقع,Título del sitio
OTP Expiration,OTP Expiration,ओटीपी समाप्ति,انتهاء صلاحية OTP,Vencimiento de la OTP
Seconds,Seconds,सेकंड,ثواني,Segundos
Web Version,Web Version,वेब संस्करण,نسخة الويب,Versión Web
Activation Settings,Activation Settings,सक्रियण सेटिंग्स,إعدادات التنشيط,Configuración de activación
User Registration,User Registration,उपयोगकर्ता पंजीकरण,تسجيل المستخدم,registro de usuario
Secure Password,Secure Password,सुरक्षित पासवर्ड,كلمة مرور آمنة,Contraseña segura
Agree Policy,Agree Policy,सहमत नीति,الموافقة على السياسة,Política de acuerdo
Force SSL,Force SSL,एसएसएल को बाध्य करें,فرض SSL,Forzar SSL
Email Verification,Email Verification,ईमेल सत्यापन,تأكيد بواسطة البريد الالكتروني,verificacion de email
Email Notification,Email Notification,ई - मेल अधिसूचना,إشعار البريد الإلكتروني,Notificación de correo electrónico
Logo (Light Version),Logo (Light Version),लोगो (हल्का संस्करण),الشعار (النسخة الخفيفة),Logotipo (versión ligera)
Logo (Dark Version),Logo (Dark Version),लोगो (डार्क संस्करण),الشعار (الإصدار الداكن),Logotipo (versión oscura)
Favicon (Light Version),Favicon (Light Version),फ़ेविकॉन (लाइट संस्करण),الأيقونة المفضلة (الإصدار الخفيف),Favicon (versión ligera)
Favicon (Dark Version),Favicon (Dark Version),फ़ेविकॉन (डार्क संस्करण),الأيقونة المفضلة (الإصدار الداكن),Favicon (versión oscura)
Search Engine Optimization (SEO),Search Engine Optimization (SEO),खोज इंजन अनुकूलन (एसईओ),تحسين محركات البحث (SEO),Optimización de motores de búsqueda (SEO)
Unauthorized,Unauthorized,अनधिकृत,غير مصرح,No autorizado
Back To Home,Back To Home,घर वापिस जा रहा हूँ,العودة إلى المنزل,De vuelta a casa
Forbidden,Forbidden,निषिद्ध,مُحرَّم,Prohibido
Public,Public,जनता,عام,Público
Categories,Categories,श्रेणियाँ,فئات,Categorías
Read More,Read More,और पढ़ें,اقرأ أكثر,Leer más
Recent Posts,Recent Posts,हाल के पोस्ट,المشاركات الاخيرة,Mensajes recientes
Your Name,Your Name,आपका नाम,اسمك,Su nombre
Subject,Subject,विषय,موضوع,Sujeto
Your Email,Your Email,आपका ईमेल,بريدك الالكتروني,Tu correo electrónico
Message,Message,संदेश,رسالة,Mensaje
Send Message,Send Message,मेसेज भेजें,أرسل رسالة,Enviar mensaje
Change,Change,परिवर्तन,يتغير,Cambiar
Buffering,Buffering,बफ़र हो,التخزين المؤقت,Almacenamiento en búfer
Chat with RJ,Chat with RJ,आरजे से चैट करें,الدردشة مع RJ,Chatea con RJ
Live Now,Live Now,अब सीधा प्रसारण हो रहा है,عش الآن,Vive ahora
Next Show,Next Show,अगला शो,العرض القادم,Próximo espectáculo
Show Time,Show Time,शो टाइम,موعد العرض,Tiempo de la funcion
Already Have An Account?,Already Have An Account?,क्या आपके पास पहले से एक खाता मौजूद है?,هل لديك حساب؟,¿Ya tienes una cuenta?
Login Now,Login Now,अभी लॉगिन करें,تسجيل الدخول الآن,Inicia sesión ahora
Don,Don,अगुआ,اِتَّشَح,Don
Please check your email address to get the OTP (One time password).,Please check your email address to get the OTP (One time password).,ओटीपी (वन टाइम पासवर्ड) प्राप्त करने के लिए कृपया अपना ईमेल पता जांचें।,يرجى التحقق من عنوان بريدك الإلكتروني للحصول على OTP (كلمة المرور لمرة واحدة).,Verifique su dirección de correo electrónico para obtener la OTP (contraseña de un solo uso).
You can resend the code after,You can resend the code after,आप इसके बाद कोड दोबारा भेज सकते हैं,يمكنك إعادة إرسال الرمز بعد ذلك,Puedes reenviar el código después
time,time,समय,وقت,tiempo
I have read and agreed with the,I have read and agreed with the,मैंने इसे पढ़ लिया है और इससे सहमत हूं,لقد قرأت ووافقت على,He leído y estoy de acuerdo con el
"Terms Of Use , Privacy Policy","Terms Of Use , Privacy Policy",उपयोग की शर्ते प्राइवेसि पॉलिसी,شروط الاستخدام، سياسة الخصوصية,"Términos de uso, Política de privacidad"
Register Now,Register Now,अभी पंजीकरण करें,سجل الان,Regístrate ahora
Set New Password,Set New Password,नया पासवर्ड सेट करें,تعيين كلمة مرور جديدة,Establecer nueva contraseña
Please enter your new password.,Please enter your new password.,कृपया अपना नया पासवर्ड दर्ज करें.,الرجاء إدخال كلمة المرور الجديدة.,Por favor ingrese su nueva contraseña.
Confirm,Confirm,पुष्टि करना,يتأكد,Confirmar
Account Authorization,Account Authorization,खाता प्राधिकरण,ترخيص الحساب,Autorización de cuenta
Need to verify your account. Please check your mail inbox to get the authorization code,Need to verify your account. Please check your mail inbox to get the authorization code,अपना खाता सत्यापित करने की आवश्यकता है. कृपया प्राधिकरण कोड प्राप्त करने के लिए अपना मेल इनबॉक्स जांचें,تحتاج إلى التحقق من حسابك. يرجى التحقق من صندوق البريد الوارد الخاص بك للحصول على رمز التفويض,Necesita verificar su cuenta. Por favor revise su bandeja de entrada de correo para obtener el código de autorización.
You can resend,You can resend,आप पुनः भेज सकते हैं,يمكنك إعادة الإرسال,puedes reenviar
Back to,Back to,वापस,ارجع الى,De regreso
Home,Home,घर,بيت,Hogar
About,About,के बारे में,عن,Acerca de
Gallery,Gallery,गैलरी,صالة عرض,Galería
Team,Team,टीम,فريق,Equipo
Blog,Blog,ब्लॉग,مدونة,Blog
Contact,Contact,संपर्क,اتصال,Contacto
Don't Have An Account?,Don't Have An Account?,कोई खाता नहीं है?,ليس لديك حساب؟,¿No tienes una cuenta?
Current Password,Current Password,वर्तमान पासवर्ड,كلمة السر الحالية,Contraseña actual
Logout,Logout,लॉग आउट,تسجيل خروج,Cerrar sesión
Type here,Type here,यहाँ टाइप करें,أكتب هنا,Escriba aquí
Enter Name,Enter Name,नाम दर्ज करें,أدخل الاسم,Ingrese su nombre
Enter Email,Enter Email,ईमेल दर्ज करें,أدخل البريد الإلكتروني,Ingrese correo electrónico
Write Here,Write Here,यहाँ लिखें,اكتب هنا,Escribe aquí
Basic Settings fetched successfully!,Basic Settings fetched successfully!,बुनियादी सेटिंग्स सफलतापूर्वक लाई गईं!,تم جلب الإعدادات الأساسية بنجاح!,¡La configuración básica se obtuvo correctamente!
Languages fetched successfully!,Languages fetched successfully!,भाषाएँ सफलतापूर्वक प्राप्त हुईं!,تم جلب اللغات بنجاح!,¡Idiomas recuperados exitosamente!
Onboard Screen fetched successfully!,Onboard Screen fetched successfully!,ऑनबोर्ड स्क्रीन सफलतापूर्वक लाई गई!,تم جلب الشاشة الموجودة على اللوحة بنجاح!,¡La pantalla integrada se obtuvo correctamente!
Sub Title,Sub Title,उपशीर्षक,العنوان الفرعي,Subtítulo
Team Data fetched successfully!,Team Data fetched successfully!,टीम डेटा सफलतापूर्वक लाया गया!,تم جلب بيانات الفريق بنجاح!,¡Datos del equipo obtenidos exitosamente!
Gallery Data fetched successfully!,Gallery Data fetched successfully!,गैलरी डेटा सफलतापूर्वक लाया गया!,تم جلب بيانات المعرض بنجاح!,¡Datos de la galería obtenidos correctamente!
Show Schedules Data fetched successfully!,Show Schedules Data fetched successfully!,शेड्यूल दिखाएं डेटा सफलतापूर्वक प्राप्त हुआ!,إظهار بيانات الجداول التي تم جلبها بنجاح!,Mostrar horarios ¡Los datos se obtuvieron correctamente!
Live Show Data fetched successfully!,Live Show Data fetched successfully!,लाइव शो डेटा सफलतापूर्वक लाया गया!,تم جلب بيانات العرض المباشر بنجاح!,¡Datos del show en vivo obtenidos exitosamente!
Team Item Edit,Team Item Edit,टीम आइटम संपादित करें,تحرير عنصر الفريق,Editar elemento de equipo
Announcement,Announcement,घोषणा,إعلان,Anuncio
Announcement Details,Announcement Details,घोषणा विवरण,تفاصيل الإعلان,Detalles del anuncio
credentials,credentials,साख,أوراق اعتماد,cartas credenciales
User doesn,User doesn,उपयोगकर्ता नहीं करता,المستخدم لا,El usuario no
Invalid Request. Please try again.,Invalid Request. Please try again.,अमान्य अनुरोध। कृपया पुन: प्रयास करें।,طلب غير صالح. حاول مرة اخرى.,Solicitud no válida. Inténtalo de nuevo.
Something went wrong! Please try again.,Something went wrong! Please try again.,कुछ गलत हो गया! कृपया पुन: प्रयास करें।,هناك خطأ ما! حاول مرة اخرى.,¡Algo salió mal! Inténtalo de nuevo.
Cookie Allowed Success,Cookie Allowed Success,कुकी ने सफलता की अनुमति दी,نجاح ملفات تعريف الارتباط المسموح بها,Cookie permitida exitosamente
Cookie Declined,Cookie Declined,कुकी अस्वीकृत,تم رفض ملف تعريف الارتباط,Cookie rechazada
Allow,Allow,अनुमति दें,يسمح,Permitir
Decline,Decline,गिरावट,انخفاض,Rechazar
Send OTP,Send OTP,OTP भेजें,أرسل كلمة مرور لمرة واحدة,Enviar OTP
Already Have An Account,Already Have An Account,क्या आपके पास पहले से एक खाता मौजूद है,هل لديك حساب,Ya tienes una cuenta
Password Reset Link sended to your email address.,Password Reset Link sended to your email address.,पासवर्ड रीसेट लिंक आपके ईमेल पते पर भेज दिया गया है।,تم إرسال رابط إعادة تعيين كلمة المرور إلى عنوان بريدك الإلكتروني.,Enlace de restablecimiento de contraseña enviado a su dirección de correo electrónico.
admin.login,admin.login,व्यवस्थापक.लॉगिन,دخول المشرف,administrador.iniciar sesión
Successfully updated password. Please login,Successfully updated password. Please login,पासवर्ड सफलतापूर्वक अपडेट किया गया. कृपया लॉगिन करें,تم تحديث كلمة المرور بنجاح. الرجاء تسجيل الدخول,Contraseña actualizada correctamente. Por favor Iniciar sesión
Schedule Section updated successfully!,Schedule Section updated successfully!,शेड्यूल अनुभाग सफलतापूर्वक अपडेट किया गया!,تم تحديث قسم الجدول بنجاح!,¡La sección de programación se actualizó exitosamente!
Event Already Exists!,Event Already Exists!,इवेंट पहले से मौजूद है!,الحدث موجود بالفعل!,¡El evento ya existe!
Schedule added successfully!,Schedule added successfully!,शेड्यूल सफलतापूर्वक जोड़ा गया!,تمت إضافة الجدول بنجاح!,¡Programa agregado exitosamente!
Schedule updated successfully!,Schedule updated successfully!,शेड्यूल सफलतापूर्वक अपडेट किया गया!,تم تحديث الجدول بنجاح!,Horario actualizado exitosamente!
Schedule deleted successfully!,Schedule deleted successfully!,शेड्यूल सफलतापूर्वक हटा दिया गया!,تم حذف الجدول بنجاح!,¡Programación eliminada exitosamente!
Schedule record not found in our system.,Schedule record not found in our system.,हमारे सिस्टम में शेड्यूल रिकॉर्ड नहीं मिला.,لم يتم العثور على سجل الجدول الزمني في نظامنا.,Registro de programación no encontrado en nuestro sistema.
Schedule Live Status updated successfully!,Schedule Live Status updated successfully!,शेड्यूल लाइव स्टेटस सफलतापूर्वक अपडेट किया गया!,تم تحديث حالة الجدولة المباشرة بنجاح!,¡Programar estado en vivo actualizado exitosamente!
Day Already Exists!,Day Already Exists!,दिन पहले से ही मौजूद है!,اليوم موجود بالفعل!,¡El día ya existe!
Day Saved Successfully!,Day Saved Successfully!,दिन सफलतापूर्वक बचाया गया!,تم حفظ اليوم بنجاح!,¡Día guardado con éxito!
Day Updated Successfully!,Day Updated Successfully!,दिन सफलतापूर्वक अपडेट किया गया!,تم تحديث اليوم بنجاح!,¡Día actualizado con éxito!
Day record not found in our system.,Day record not found in our system.,हमारे सिस्टम में दिन का रिकॉर्ड नहीं मिला.,سجل اليوم غير موجود في نظامنا.,Registro de día no encontrado en nuestro sistema.
Something went wrong!. Please try again.,Something went wrong!. Please try again.,कुछ गलत हो गया!। कृपया पुन: प्रयास करें।,هناك خطأ ما!. حاول مرة اخرى.,¡Algo salió mal!. Inténtalo de nuevo.
Day status updated successfully!,Day status updated successfully!,दिन की स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة اليوم بنجاح!,¡El estado del día se actualizó exitosamente!
Day deleted successfully!,Day deleted successfully!,दिन सफलतापूर्वक हटा दिया गया!,تم حذف اليوم بنجاح!,¡Día eliminado exitosamente!
Email send successfully!,Email send successfully!,ईमेल सफलतापूर्वक भेजा गया!,إرسال البريد الإلكتروني بنجاح!,¡Envío de correo electrónico exitoso!
Can,Can,कर सकना,يستطيع,Poder
Oops! Failed to upload image.,Oops! Failed to upload image.,उफ़! छवि अपलोड करने में विफल.,أُووبس! فشل تحميل الصورة.,¡Ups! No se pudo cargar la imagen.
Role assign failed!,Role assign failed!,भूमिका असाइन करना विफल!,فشل تعيين الدور!,¡Error en la asignación de roles!
New admin created successfully!,New admin created successfully!,नया व्यवस्थापक सफलतापूर्वक बनाया गया!,تم إنشاء المشرف الجديد بنجاح!,¡Nuevo administrador creado exitosamente!
Oops! Target admin not found!,Oops! Target admin not found!,उफ़! लक्ष्य व्यवस्थापक नहीं मिला!,أُووبس! لم يتم العثور على المشرف المستهدف!,¡Ups! ¡Administrador objetivo no encontrado!
Failed to assign role.,Failed to assign role.,भूमिका निर्दिष्ट करने में विफल.,فشل في تعيين الدور.,No se pudo asignar el rol.
Admin information updated successfully!,Admin information updated successfully!,व्यवस्थापक जानकारी सफलतापूर्वक अपडेट की गई!,تم تحديث معلومات المشرف بنجاح!,¡La información del administrador se actualizó exitosamente!
Admin status updated successfully!,Admin status updated successfully!,व्यवस्थापक स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة المشرف بنجاح!,¡El estado del administrador se actualizó exitosamente!
Admin role created successfully!,Admin role created successfully!,व्यवस्थापक भूमिका सफलतापूर्वक बनाई गई!,تم إنشاء دور المشرف بنجاح!,¡El rol de administrador se creó exitosamente!
Oops! Target not found!,Oops! Target not found!,उफ़! लक्ष्य नहीं मिला!,أُووبس! لم يتم العثور على الهدف!,¡Ups! ¡Objetivo no encontrado!
Target role not found!,Target role not found!,लक्ष्य भूमिका नहीं मिली!,لم يتم العثور على الدور المستهدف!,¡No se encontró el rol de destino!
Admin role deleted successfully!,Admin role deleted successfully!,व्यवस्थापक भूमिका सफलतापूर्वक हटा दी गई!,تم حذف دور المشرف بنجاح!,¡El rol de administrador se eliminó correctamente!
Permission created successfully!,Permission created successfully!,अनुमति सफलतापूर्वक बनाई गई!,تم إنشاء الإذن بنجاح!,¡Permiso creado exitosamente!
Target not found!,Target not found!,लक्ष्य नहीं मिला!,لم يتم العثور على الهدف!,¡Objetivo no encontrado!
Permission not found!,Permission not found!,अनुमति नहीं मिली!,لم يتم العثور على إذن!,¡Permiso no encontrado!
Permission updated successfully!,Permission updated successfully!,अनुमति सफलतापूर्वक अपडेट की गई!,تم تحديث الإذن بنجاح!,¡Permiso actualizado exitosamente!
Permission deleted successfully!,Permission deleted successfully!,अनुमति सफलतापूर्वक हटा दी गई!,تم حذف الإذن بنجاح!,¡Permiso eliminado exitosamente!
Role permission not found!,Role permission not found!,भूमिका की अनुमति नहीं मिली!,لم يتم العثور على إذن الدور!,¡Permiso de rol no encontrado!
Permission assign successfully!,Permission assign successfully!,अनुमति सफलतापूर्वक असाइन की गई!,تم تعيين الإذن بنجاح!,¡El permiso se asignó correctamente!
Admin deleted successfully!,Admin deleted successfully!,व्यवस्थापक सफलतापूर्वक हटा दिया गया!,تم حذف المشرف بنجاح!,¡El administrador se eliminó exitosamente!
Onboard Screen Added Successfully!,Onboard Screen Added Successfully!,ऑनबोर्ड स्क्रीन सफलतापूर्वक जोड़ी गई!,تمت إضافة الشاشة على متن الطائرة بنجاح!,¡Pantalla integrada agregada con éxito!
Onboard screen not found!,Onboard screen not found!,ऑनबोर्ड स्क्रीन नहीं मिली!,لم يتم العثور على الشاشة على متن الطائرة!,¡No se encontró la pantalla integrada!
Onboard screen status updated successfully!.,Onboard screen status updated successfully!.,ऑनबोर्ड स्क्रीन स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة الشاشة على متن الطائرة بنجاح!.,¡El estado de la pantalla a bordo se actualizó exitosamente!.
Onboard screen information updated successfully!,Onboard screen information updated successfully!,ऑनबोर्ड स्क्रीन जानकारी सफलतापूर्वक अपडेट की गई!,تم تحديث معلومات الشاشة الموجودة على اللوحة بنجاح!,¡La información de la pantalla a bordo se actualizó exitosamente!
Screen deleted successfully!,Screen deleted successfully!,स्क्रीन सफलतापूर्वक हटा दी गई!,تم حذف الشاشة بنجاح!,¡Pantalla eliminada exitosamente!
Splash screen updated successfully!,Splash screen updated successfully!,स्पलैश स्क्रीन सफलतापूर्वक अपडेट की गई!,تم تحديث شاشة البداية بنجاح!,¡La pantalla de bienvenida se actualizó correctamente!
URL settings updated successfully!,URL settings updated successfully!,यूआरएल सेटिंग्स सफलतापूर्वक अपडेट की गईं!,تم تحديث إعدادات URL بنجاح!,¡La configuración de URL se actualizó correctamente!
Broadcast configuration updated successfully!,Broadcast configuration updated successfully!,प्रसारण कॉन्फ़िगरेशन सफलतापूर्वक अपडेट किया गया!,تم تحديث تكوين البث بنجاح!,¡La configuración de transmisión se actualizó exitosamente!
Cookie information updated successfully!,Cookie information updated successfully!,कुकी जानकारी सफलतापूर्वक अपडेट की गई!,تم تحديث معلومات ملفات تعريف الارتباط بنجاح!,¡La información de las cookies se actualizó correctamente!
Notifications clear successfully!,Notifications clear successfully!,सूचनाएं सफलतापूर्वक साफ़ हो गईं!,تم مسح الإخطارات بنجاح!,¡Las notificaciones se borran correctamente!
Extension has been udpated successfully,Extension has been udpated successfully,एक्सटेंशन सफलतापूर्वक अपडेट कर दिया गया है,تم تحديث الامتداد بنجاح,La extensión se ha actualizado correctamente.
Extension is not found!.,Extension is not found!.,एक्सटेंशन नहीं मिला!,لم يتم العثور على التمديد!.,¡No se encuentra la extensión!.
Extension status is updated successfully!,Extension status is updated successfully!,एक्सटेंशन स्थिति सफलतापूर्वक अपडेट हो गई है!,تم تحديث حالة الامتداد بنجاح!,¡El estado de la extensión se actualizó correctamente!
Language updated successfully!,Language updated successfully!,भाषा सफलतापूर्वक अपडेट की गई!,تم تحديث اللغة بنجاح!,¡Idioma actualizado exitosamente!
Language (,Language (,भाषा (,لغة (,Idioma (
) is not removable.,) is not removable.,) हटाने योग्य नहीं है.,) غير قابل للإزالة.,) no es removible.
File remove failed!,File remove failed!,फ़ाइल हटाना विफल!,فشل إزالة الملف!,¡Error al eliminar el archivo!
Language deleted successfully!,Language deleted successfully!,भाषा सफलतापूर्वक हटा दी गई!,تم حذف اللغة بنجاح!,¡Idioma eliminado exitosamente!
Please deselect your default language first.,Please deselect your default language first.,कृपया पहले अपनी डिफ़ॉल्ट भाषा का चयन रद्द करें।,الرجاء إلغاء تحديد لغتك الافتراضية أولاً.,Primero deseleccione su idioma predeterminado.
Language status updated successfully!,Language status updated successfully!,भाषा स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة اللغة بنجاح!,¡El estado del idioma se actualizó exitosamente!
Sorry! Language not found!,Sorry! Language not found!,क्षमा मांगना! भाषा नहीं मिली!,آسف! لم يتم العثور على اللغة!,¡Lo siento! ¡Idioma no encontrado!
Failed to store new file.,Failed to store new file.,नई फ़ाइल संग्रहीत करने में विफल.,فشل في تخزين الملف الجديد.,No se pudo almacenar el nuevo archivo.
Language switch successfully!,Language switch successfully!,भाषा परिवर्तन सफलतापूर्वक!,تبديل اللغة بنجاح!,¡Cambio de idioma exitoso!
File does not exists.,File does not exists.,फ़ाइल मौजूद नहीं है.,الملف غير موجود.,El archivo no existe.
Profile Information Updated Successfully!,Profile Information Updated Successfully!,प्रोफ़ाइल जानकारी सफलतापूर्वक अपडेट की गई!,تم تحديث معلومات الملف الشخصي بنجاح!,¡Información de perfil actualizada con éxito!
Oops! Basic settings not found!,Oops! Basic settings not found!,उफ़! बुनियादी सेटिंग्स नहीं मिलीं!,أُووبس! لم يتم العثور على الإعدادات الأساسية!,¡Ups! ¡No se encontraron configuraciones básicas!
Sorry! You have to configure first to send push notification.,Sorry! You have to configure first to send push notification.,क्षमा मांगना! पुश नोटिफिकेशन भेजने के लिए आपको पहले कॉन्फ़िगर करना होगा।,آسف! يجب عليك التهيئة أولاً لإرسال إشعار الدفع.,¡Lo siento! Primero debe configurar para enviar notificaciones automáticas.
Please configure your push notification with valid credentials.,Please configure your push notification with valid credentials.,कृपया अपनी पुश अधिसूचना को वैध क्रेडेंशियल्स के साथ कॉन्फ़िगर करें।,يرجى تكوين إشعار الدفع الخاص بك ببيانات اعتماد صالحة.,Configure su notificación push con credenciales válidas.
Oops! Failed to store information.,Oops! Failed to store information.,उफ़! जानकारी संग्रहीत करने में विफल.,أُووبس! فشل في تخزين المعلومات.,¡Ups! No se pudo almacenar la información.
Notification sended successfully!,Notification sended successfully!,अधिसूचना सफलतापूर्वक भेजी गई!,تم إرسال الإخطار بنجاح!,¡Notificación enviada exitosamente!
Oops! Basic setting not found!,Oops! Basic setting not found!,उफ़! मूल सेटिंग नहीं मिली!,أُووبس! لم يتم العثور على الإعداد الأساسي!,¡Ups! ¡Configuración básica no encontrada!
Push notification configuration updated successfully!,Push notification configuration updated successfully!,पुश अधिसूचना कॉन्फ़िगरेशन सफलतापूर्वक अपडेट किया गया!,تم تحديث تكوين إشعار الدفع بنجاح!,¡La configuración de notificaciones push se actualizó correctamente!
Basic settings not found!,Basic settings not found!,बुनियादी सेटिंग्स नहीं मिलीं!,لم يتم العثور على الإعدادات الأساسية!,¡No se encontraron configuraciones básicas!
Information updated successfully!,Information updated successfully!,जानकारी सफलतापूर्वक अपडेट की गई!,تم تحديث المعلومات بنجاح!,¡Información actualizada exitosamente!
Page not found!,Page not found!,पृष्ठ नहीं मिला!,الصفحة غير موجودة!,¡Página no encontrada!
Setup Page status updated successfully!,Setup Page status updated successfully!,सेटअप पृष्ठ स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة صفحة الإعداد بنجاح!,¡El estado de la página de configuración se actualizó exitosamente!
